model,features,accuracy,precision,recall,f1
Naive Bayes (TF-IDF),TF-IDF,0.9628062360801781,0.9618802619270346,0.9600840336134454,0.960981308411215
Logistic Regression (TF-IDF),TF-IDF,0.9952115812917595,0.994173852248893,0.9957983193277311,0.9949854227405248
